id,source,relative_path,mtime,selected
n5_08088,tup,tup\n5_08088_弟_00001_.png,1782789479.3941848,yes
n5_08095,tup,tup\n5_08095_御飯_00001_.png,1782789506.5601635,yes
n5_08102,tup,tup\n5_08102_手_00002_.png,1782780512.7736502,yes
n5_08103,tup,tup\n5_08103_手紙.png,1782818613.8525667,yes
n5_08106,tup,tup\n5_08106_掃除_00001_.png,1782789436.2378044,yes
n5_08115,tup,tup\n5_08115_新聞_00001_.png,1782789489.0622127,yes
n5_08129,tup,tup\n5_08129_昼御飯.png,1782806011.529338,yes
n5_08131,tup,tup\n5_08131_時計_00001_.png,1782789488.949283,yes
n5_08134,tup,tup\n5_08134_晩御飯_00003_.png,1782800383.4321823,yes
n5_08141,tup,tup\n5_08141_曇り.png,1782806132.109052,yes
n5_08150,tup,tup\n5_08150_木_00001_.png,1782789500.049222,yes
n5_08152,tup,tup\n5_08152_本_00001_.png,1782789488.8806655,yes
n5_08154,tup,tup\n5_08154_机.png,1782818516.3953083,yes
n5_08161,tup,tup\n5_08161_果物_00001_.png,1782789506.42181,yes
n5_08170,tup,tup\n5_08170_歩く_00001_.png,1782789434.183777,yes
n5_08171,tup,tup\n5_08171_歯.png,1782819526.7633998,yes
n5_08179,tup,tup\n5_08179_水_00003_.png,1782800378.3347514,yes
n5_08184,tup,tup\n5_08184_洋服.png,1782805759.0056493,yes
n5_08187,tup,tup\n5_08187_海.png,1782818237.74191,yes
n5_08200,tup,tup\n5_08200_牛乳_00003_.png,1782800378.2975247,yes
n5_08203,tup,tup\n5_08203_犬_00000.png,1782803982.967731,yes
n5_08205,tup,tup\n5_08205_猫_00000.png,1782803949.7508435,yes
n5_08211,tup,tup\n5_08211_男の子_00003_.png,1782800367.0998552,yes
n5_08213,tup,tup\n5_08213_留学生.png,1782821779.1924138,yes
n5_08217,tup,tup\n5_08217_病院_00001_.png,1782789469.0795357,yes
n5_08224,tup,tup\n5_08224_目_00004_.png,1782781951.7977543,yes
n5_08230,tup,tup\n5_08230_砂糖_00003_.png,1782800378.2304082,yes
n5_08236,tup,tup\n5_08236_立つ_00004_.png,1782816847.1378496,yes
n5_08238,tup,tup\n5_08238_箱_00001_.png,1782789488.7006476,yes
n5_08239,tup,tup\n5_08239_紅茶_00001_.png,1782789502.695449,yes
n5_08240,tup,tup\n5_08240_紙_00001_.png,1782789488.755282,yes
n5_08251,tup,tup\n5_08251_耳_00000.png,1782804111.505585,yes
n5_08251,tup,tup\n5_08251_耳_00003_.png,1782781960.6403606,no
n5_08253,tup,tup\n5_08253_肉_00001_.png,1782789502.6383855,yes
n5_08259,tup,tup\n5_08259_自転車_00001_.png,1782789465.842128,yes
n5_08261,tup,tup\n5_08261_花_00001_.png,1782789499.9005966,yes
n5_08262,tup,tup\n5_08262_花瓶_00001_.png,1782789488.606916,yes
n5_08267,tup,tup\n5_08267_葉書.png,1782818573.3080158,yes
n5_08269,tup,tup\n5_08269_薬_00003_.png,1782781094.9127283,yes
n5_08282,tup,tup\n5_08282_読む_00003_.png,1782800308.7245622,yes
n5_08295,tup,tup\n5_08295_走る_00003_.png,1782800305.1852527,yes
n5_08297,tup,tup\n5_08297_足.png,1782819526.5946534,yes
n5_08298,tup,tup\n5_08298_車_00001_.png,1782789461.8900545,yes
n5_08309,tup,tup\n5_08309_道.png,1782821216.0006154,yes
n5_08312,tup,tup\n5_08312_部屋.png,1782821363.1985333,yes
n5_08313,tup,tup\n5_08313_郵便局_00001_.png,1782789465.9363136,yes
n5_08314,tup,tup\n5_08314_重い_00001_.png,1782789308.0591564,yes
n5_08315,tup,tup\n5_08315_野菜_00001_.png,1782789502.5890205,yes
n5_08317,tup,tup\n5_08317_鉛筆_00001_.png,1782789488.5591245,yes
n5_08318,tup,tup\n5_08318_銀行.png,1782821304.4229074,yes
n5_08326,tup,tup\n5_08326_降る_00003_.png,1782800297.7042115,yes
n5_08329,tup,tup\n5_08329_雑誌_00001_.png,1782789488.532215,yes
n5_08331,tup,tup\n5_08331_雨.png,1782806175.033689,yes
n5_08332,tup,tup\n5_08332_雪_00001_.png,1782789499.8578222,yes
n5_08335,tup,tup\n5_08335_電話.png,1782818653.5509913,yes
n5_08336,tup,tup\n5_08336_電車_00001_.png,1782789461.8583658,yes
n5_08340,tup,tup\n5_08340_靴.png,1782805822.6866298,yes
n5_08341,tup,tup\n5_08341_靴下.png,1782805895.5341394,yes
n5_08350,tup,tup\n5_08350_食べ物_00004_.png,1782816891.145726,yes
n5_08356,tup,tup\n5_08356_高い_00001_.png,1782789307.7764595,yes
n5_08357,tup,tup\n5_08357_魚.png,1782782655.8318474,yes
n5_08358,tup,tup\n5_08358_鳥_00002_.png,1782779536.5383048,yes
n5_08361,tup,tup\n5_08361_黄色い_00001_.png,1782789307.7274601,yes
n5_08363,tup,tup\n5_08363_黒い_00004_.png,1782816784.0042994,yes
n5_08364,tup,tup\n5_08364＿鼻_00000.png,1782804138.7006207,yes
n4_07093,tup_n4_files,tup_n4\files\n4_07093_お・金持ち_有钱人.png,1782871759.0429888,yes
n4_07147,tup_n4_files,tup_n4\files\n4_07147_つき_月亮.png,1782873368.4819968,yes
n4_07193,tup_n4_files,tup_n4\files\n4_07193_ガソリンスタンド_加油站.png,1782867270.7543888,yes
n4_07194,tup_n4_files,tup_n4\files\n4_07194_ガラス_玻璃、玻璃窗.png,1782871428.6499214,yes
n4_07195,tup_n4_files,tup_n4\files\n4_07195_ケーキ_蛋糕.png,1782866779.6469097,yes
n4_07213,tup_n4_files,tup_n4\files\n4_07213_パソコン_个人电脑.png,1782875616.3738387,yes
n4_07215,tup_n4_files,tup_n4\files\n4_07215_ビル_大楼、账单.png,1782867289.1189156,yes
n4_07237,tup_n4_files,tup_n4\files\n4_07237_中学校_初中、中学.png,1782874552.1007981,yes
n4_07245,tup_n4_files,tup_n4\files\n4_07245_事務所_办公室、事务所.png,1782874618.076846,yes
n4_07261,tup_n4_files,tup_n4\files\n4_07261_会場_会场、集合地点.png,1782874705.8947878,yes
n4_07322,tup_n4_files,tup_n4\files\n4_07322_地震_地震.png,1782873704.6489384,yes
n4_07340,tup_n4_files,tup_n4\files\n4_07340_大学生_大学生.png,1782873933.412716,yes
n4_07341,tup_n4_files,tup_n4\files\n4_07341_天気予報_天气预报.png,1782906850.0174625,yes
n4_07342,tup_n4_files,tup_n4\files\n4_07342_太る_变胖.png,1782868205.7297256,yes
n4_07362,tup_n4_files,tup_n4\files\n4_07362_小学校_小学.png,1782875149.8747497,yes
n4_07369,tup_n4_files,tup_n4\files\n4_07369_工場_工厂.png,1782875219.854865,yes
n4_07377,tup_n4_files,tup_n4\files\n4_07377_店員_店员.png,1782875277.4897895,yes
n4_07420,tup_n4_files,tup_n4\files\n4_07420_拾う_捡起、收集.png,1782868399.456462,yes
n4_07438,tup_n4_files,tup_n4\files\n4_07438_新聞社_报社.png,1782867116.5507393,yes
n4_07439,tup_n4_files,tup_n4\files\n4_07439_旅館_日式旅馆.png,1782867478.876089,yes
n4_07444,tup_n4_files,tup_n4\files\n4_07444_星_星星.png,1782871361.8276174,yes
n4_07486,tup_n4_files,tup_n4\files\n4_07486_汽車_蒸汽火车.png,1782867631.9206107,yes
n4_07504,tup_n4_files,tup_n4\files\n4_07504_湯_热水.png,1782871253.960718,yes
n4_07509,tup_n4_files,tup_n4\files\n4_07509_火_火、火灾.png,1782867008.609396,yes
n4_07510,tup_n4_files,tup_n4\files\n4_07510_火事_火、火灾.png,1782906850.1217418,yes
n4_07516,tup_n4_files,tup_n4\files\n4_07516_焼ける_燃烧、烤焦.png,1782868549.646901,yes
n4_07521,tup_n4_files,tup_n4\files\n4_07521_特急_特急列车.png,1782867651.9987292,yes
n4_07549,tup_n4_files,tup_n4\files\n4_07549_眠る_睡觉.png,1782906850.200511,yes
n4_07555,tup_n4_files,tup_n4\files\n4_07555_研究室_研究室、实验室.png,1782906850.2855737,yes
n4_07567,tup_n4_files,tup_n4\files\n4_07567_空港_机场.png,1782905099.5456526,yes
n4_07573,tup_n4_files,tup_n4\files\n4_07573_米_米、生米.png,1782873026.8201275,yes
n4_07592,tup_n4_files,tup_n4\files\n4_07592_背中_背部、后背.png,1782866752.4464376,yes
n4_07597,tup_n4_files,tup_n4\files\n4_07597_舟_船.png,1782867673.775265,yes
n4_07604,tup_n4_files,tup_n4\files\n4_07604_虫_虫、昆虫.png,1782866719.014236,yes
n4_07640,tup_n4_files,tup_n4\files\n4_07640_踊る_跳舞.png,1782871875.4332914,yes
n4_07662,tup_n4_files,tup_n4\files\n4_07662_運転_驾驶.png,1782871908.7021751,yes
n4_07674,tup_n4_files,tup_n4\files\n4_07674_釣る_钓鱼.png,1782869088.2134697,yes
n4_07685,tup_n4_files,tup_n4\files\n4_07685_雲_云.png,1782904426.1406102,yes
n4_07691,tup_n4_files,tup_n4\files\n4_07691_食事_吃饭、用餐.png,1782873186.085779,yes
n4_07698,tup_n4_files,tup_n4\files\n4_07698_高校_高中.png,1782871695.3420763,yes
n4_07699,tup_n4_files,tup_n4\files\n4_07699_高校生_高中生.png,1782874542.7279806,yes
n4_07700,tup_n4_files,tup_n4\files\n4_07700_高等学校_高中.png,1782905167.5088372,yes
n3_05306,tup_n3_files,tup_n3\files\n3_05306_おじいさん_祖父、爷爷.png,1782953331.7795465,yes
n3_05314,tup_n3_files,tup_n3\files\n3_05314_お目に掛かる_拜见、被看见.png,1782953965.7928526,yes
n3_05315,tup_n3_files,tup_n3\files\n3_05315_お腹_肚子、胃.png,1782958516.7708378,yes
n3_05355,tup_n3_files,tup_n3\files\n3_05355_そっと_地面、地表.png,1782958761.3600054,yes
n3_05434,tup_n3_files,tup_n3\files\n3_05434_カー_汽车.png,1782953864.328348,yes
n3_05442,tup_n3_files,tup_n3\files\n3_05442_グラス_玻璃杯、草.png,1782959601.7128558,yes
n3_05448,tup_n3_files,tup_n3\files\n3_05448_コンピューター_电脑、计算机.png,1782959642.354352,yes
n3_05464,tup_n3_files,tup_n3\files\n3_05464_スープ_汤、西式汤.png,1782952811.0298202,yes
n3_05484,tup_n3_files,tup_n3\files\n3_05484_ドレス_连衣裙、礼服.png,1782957890.2167332,yes
n3_05498,tup_n3_files,tup_n3\files\n3_05498_ビール_啤酒.png,1782957935.7312365,yes
n3_05505,tup_n3_files,tup_n3\files\n3_05505_ベルト_皮带、腰带.png,1782959419.8929098,yes
n3_05517,tup_n3_files,tup_n3\files\n3_05517_ミルク_牛奶.png,1782959551.3637345,yes
n3_05527,tup_n3_files,tup_n3\files\n3_05527_ワイン_葡萄酒、红酒.png,1782957981.3971004,yes
n3_05606,tup_n3_files,tup_n3\files\n3_05606_人込み_人群.png,1782959686.586661,yes
n3_05685,tup_n3_files,tup_n3\files\n3_05685_停留所_公交站、电车站.png,1782953880.9484081,yes
n3_05705,tup_n3_files,tup_n3\files\n3_05705_兎_兔子.png,1782952412.6845624,yes
n3_05750,tup_n3_files,tup_n3\files\n3_05750_列車_列车、火车.png,1782953899.1334727,yes
n3_05793,tup_n3_files,tup_n3\files\n3_05793_医師_医生.png,1782959141.6284356,yes
n3_05951,tup_n3_files,tup_n3\files\n3_05951_太陽_太阳.png,1782960155.1181931,yes
n3_05963,tup_n3_files,tup_n3\files\n3_05963_女子_女孩.png,1782953454.8902361,yes
n3_06037,tup_n3_files,tup_n3\files\n3_06037_居間_客厅.png,1782953758.3360772,yes
n3_06040,tup_n3_files,tup_n3\files\n3_06040_履く_穿下装、穿鞋.png,1782959011.9704895,yes
n3_06087,tup_n3_files,tup_n3\files\n3_06087_弁当_便当.png,1782959775.7805874,yes
n3_06176,tup_n3_files,tup_n3\files\n3_06176_戦う_战斗、打仗.png,1782958795.2445714,yes
n3_06196,tup_n3_files,tup_n3\files\n3_06196_抱く_抱、拥抱、怀有.png,1782954692.729136,yes
n3_06242,tup_n3_files,tup_n3\files\n3_06242_教師_教师、老师.png,1782959103.159938,yes
n3_06244,tup_n3_files,tup_n3\files\n3_06244_教科書_教科书.png,1782953189.1749773,yes
n3_06306,tup_n3_files,tup_n3\files\n3_06306_月_月亮.png,1782953045.3230534,yes
n3_06329,tup_n3_files,tup_n3\files\n3_06329_松_松树、最高级.png,1782953060.607069,yes
n3_06342,tup_n3_files,tup_n3\files\n3_06342_椅子_椅子.png,1782959212.3425376,yes
n3_06358,tup_n3_files,tup_n3\files\n3_06358_機械_机器、机械.png,1782959810.6769142,yes
n3_06520,tup_n3_files,tup_n3\files\n3_06520_田_稻田.png,1782959450.7199407,yes
n3_06718,tup_n3_files,tup_n3\files\n3_06718_船_船.png,1782953932.386637,yes
n3_06732,tup_n3_files,tup_n3\files\n3_06732_虎_老虎.png,1782952439.892594,yes
n3_07054,tup_n3_files,tup_n3\files\n3_07054_馬_马.png,1782952464.0861988,yes
n3_07067,tup_n3_files,tup_n3\files\n3_07067_魚_鱼.png,1782957781.9108074,yes
n3_07070,tup_n3_files,tup_n3\files\n3_07070_鼠_老鼠、深灰色.png,1782959352.32306,yes
n2_03510,tup_n2_files,tup_n2\files\n2_03510_おやつ_点心.png,1783035913.9862697,yes
n2_03553,tup_n2_files,tup_n2\files\n2_03553_しびれる_麻木；入睡.png,1783039148.1514761,yes
n2_03556,tup_n2_files,tup_n2\files\n2_03556_しゃがむ_蹲下.png,1783037914.9964576,yes
n2_03617,tup_n2_files,tup_n2\files\n2_03617_ぺん_笔.png,1783036265.6748965,yes
n2_03804,tup_n2_files,tup_n2\files\n2_03804_並木_行道树；树列.png,1783037583.9401271,yes
n2_03828,tup_n2_files,tup_n2\files\n2_03828_井戸_水井.png,1783038460.4467113,yes
n2_03887,tup_n2_files,tup_n2\files\n2_03887_便箋_便笺.png,1783040024.0951972,yes
n2_03984,tup_n2_files,tup_n2\files\n2_03984_刺身_生鱼片.png,1783040420.8355994,yes
n2_04018,tup_n2_files,tup_n2\files\n2_04018_匙_勺子.png,1782962584.769065,yes
n2_04069,tup_n2_files,tup_n2\files\n2_04069_吊る_悬挂.png,1782964383.1229446,yes
n2_04080,tup_n2_files,tup_n2\files\n2_04080_吹雪_暴风雪.png,1783038524.7186224,yes
n2_04087,tup_n2_files,tup_n2\files\n2_04087_和服_和服.png,1783038419.389558,yes
n2_04091,tup_n2_files,tup_n2\files\n2_04091_商店_商店.png,1783038632.2827735,yes
n2_04099,tup_n2_files,tup_n2\files\n2_04099_噴水_喷泉.png,1782962173.8741653,yes
n2_04150,tup_n2_files,tup_n2\files\n2_04150_塵紙_纸巾;_卫生纸.png,1783039995.7076645,yes
n2_04164,tup_n2_files,tup_n2\files\n2_04164_夕日_夕阳.png,1783038577.801855,yes
n2_04178,tup_n2_files,tup_n2\files\n2_04178_大木_大树.png,1782962434.1769772,yes
n2_04184,tup_n2_files,tup_n2\files\n2_04184_女の人_女士.png,1782962949.0224676,yes
n2_04259,tup_n2_files,tup_n2\files\n2_04259_山林_山林；山地森林；林区.png,1782962450.8362136,yes
