id,jlpt_level,word,reading,meaning,round2_review,source_file
n5_07905,N5,並ぶ,ならぶ,"to line up,to stand in a line",NO,D:\codex-2\tup\NO\NO\n5_07905_並ぶ_00003_.png
n5_07906,N5,並べる,ならべる,"to line up,to set up",NO,D:\codex-2\tup\NO\NO\n5_07906_並べる_00003_.png
n5_07909,N5,乗る,のる,"to get on,to ride",NO,D:\codex-2\tup\NO\NO\n5_07909_乗る_00003_.png
n5_07915,N5,二人,ふたり,two people,NO,D:\codex-2\tup\NO\NO\n5_07915_二人_00003_.png
n5_07923,N5,交番,こうばん,police box,NO,D:\codex-2\tup\NO\NO\n5_07923_交番_00003_.png
n5_07934,N5,休む,やすむ,to rest,NO,D:\codex-2\tup\NO\NO\n5_07934_休む_00003_.png
n5_07935,N5,会う,あう,to meet,NO,D:\codex-2\tup\NO\NO\n5_07935_会う_00003_.png
n5_07939,N5,低い,ひくい,"short,low",NO,D:\codex-2\tup\NO\NO\n5_07939_低い_00003_.png
n5_07940,N5,住む,すむ,to live in,NO,D:\codex-2\tup\NO\NO\n5_07940_住む_00003_.png
n5_07943,N5,作る,つくる,to make,NO,D:\codex-2\tup\NO\NO\n5_07943_作る_00003_.png
n5_07945,N5,使う,つかう,to use,NO,D:\codex-2\tup\NO\NO\n5_07945_使う_00003_.png
n5_07946,N5,便利,べんり,"useful, convenient",NO,D:\codex-2\tup\NO\NO\n5_07946_便利_00003_.png
n5_07947,N5,借りる,かりる,to borrow,NO,D:\codex-2\tup\NO\NO\n5_07947_借りる_00003_.png
n5_07949,N5,働く,はたらく,to work,NO,D:\codex-2\tup\NO\NO\n5_07949_働く_00003_.png
n5_07957,N5,入る,はいる,"to enter,to contain",NO,D:\codex-2\tup\NO\NO\n5_07957_入る_00003_.png
n5_07958,N5,入れる,いれる,to put in,NO,D:\codex-2\tup\NO\NO\n5_07958_入れる_00003_.png
n5_07971,N5,冷たい,つめたい,cold to the touch,NO,D:\codex-2\tup\NO\NO\n5_07971_冷たい_00003_.png
n5_07973,N5,出かける,でかける,to go out,NO,D:\codex-2\tup\NO\NO\n5_07973_出かける_00003_.png
n5_07974,N5,出す,だす,to put out,NO,D:\codex-2\tup\NO\NO\n5_07974_出す_00003_.png
n5_07977,N5,分かる,わかる,to be understood,NO,D:\codex-2\tup\NO\NO\n5_07977_分かる_00003_.png
n5_07978,N5,切る,きる,to cut,NO,D:\codex-2\tup\NO\NO\n5_07978_切る_00003_.png
n5_07980,N5,切符,きっぷ,ticket,NO,D:\codex-2\tup\NO\NO\n5_07980_切符_00003_.png
n5_07984,N5,勉強,べんきょうする,to study,NO,D:\codex-2\tup\NO\NO\n5_07984_勉強_00003_.png
n5_07986,N5,勤める,つとめる,to work for someone,NO,D:\codex-2\tup\NO\NO\n5_07986_勤める_00003_.png
