id,jlpt_level,word,reading,meaning,image_status,image_type,visual_domain,image_review
n5_08226,N5,着く,つく,to arrive at,scene_image,person_action_scene,action_state,NO PICTURE
n5_08227,N5,着る,きる,to put on from the shoulders down,scene_image,person_action_scene,action_state,NO PICTURE
n5_08228,N5,知る,しる,to know,scene_image,person_action_scene,action_state,NO PICTURE
n5_08231,N5,磨く,みがく,"to brush teeth, to polish",scene_image,person_action_scene,action_state,NO PICTURE
n5_08237,N5,答える,こたえる,to answer,scene_image,person_action_scene,action_state,NO PICTURE
n5_08247,N5,締める,しめる,to tie,scene_image,person_action_scene,action_state,NO PICTURE
n5_08248,N5,練習,れんしゅうする,to practice,scene_image,person_action_scene,action_state,NO PICTURE
n5_08249,N5,置く,おく,to put,scene_image,person_action_scene,action_state,NO PICTURE
n5_08250,N5,習う,ならう,to learn,scene_image,person_action_scene,action_state,NO PICTURE
n5_08252,N5,聞く,きく,"to hear,to listen to,to ask",scene_image,person_action_scene,action_state,NO PICTURE
n5_08256,N5,脱ぐ,ぬぐ,to take off clothes,scene_image,person_action_scene,action_state,NO PICTURE
n5_08270,N5,行く,いく,to go,scene_image,person_action_scene,action_state,NO PICTURE
n5_08272,N5,要る,いる,to need,scene_image,person_action_scene,action_state,NO PICTURE
n5_08273,N5,見せる,みせる,to show,scene_image,person_action_scene,action_state,NO PICTURE
n5_08275,N5,覚える,おぼえる,to remember,scene_image,person_action_scene,action_state,NO PICTURE
n5_08277,N5,言う,いう,to say,scene_image,person_action_scene,action_state,NO PICTURE
n5_08280,N5,話す,はなす,to speak,scene_image,person_action_scene,action_state,NO PICTURE
n5_08288,N5,買う,かう,to buy,scene_image,person_action_scene,action_state,NO PICTURE
n5_08289,N5,貸す,かす,to lend,scene_image,person_action_scene,action_state,NO PICTURE
n5_08290,N5,貼る,はる,to stick,scene_image,person_action_scene,action_state,NO PICTURE
n5_08296,N5,起きる,おきる,to get up,scene_image,person_action_scene,action_state,NO PICTURE
n5_08305,N5,返す,かえす,to return something,scene_image,person_action_scene,action_state,NO PICTURE
n5_08308,N5,遊ぶ,あそぶ,"to play,to make a visit",scene_image,person_action_scene,action_state,NO PICTURE
n5_08310,N5,違う,ちがう,to differ,scene_image,person_action_scene,action_state,NO PICTURE
n5_08321,N5,閉まる,しまる,"to close,to be closed",scene_image,person_action_scene,action_state,NO PICTURE
n5_08322,N5,閉める,しめる,to close something,scene_image,person_action_scene,action_state,NO PICTURE
n5_08323,N5,開く,あく,"to open,to become open",scene_image,person_action_scene,action_state,NO PICTURE
n5_08324,N5,開ける,あける,to open,scene_image,person_action_scene,action_state,NO PICTURE
n5_08325,N5,降りる,おりる,"to get off, to descend",scene_image,person_action_scene,action_state,NO PICTURE
n5_08344,N5,頼む,たのむ,to ask,scene_image,person_action_scene,action_state,NO PICTURE
n5_08347,N5,飛ぶ,とぶ,"to fly,to hop",scene_image,person_action_scene,action_state,NO PICTURE
n5_08349,N5,食べる,たべる,to eat,scene_image,person_action_scene,action_state,NO PICTURE
n5_08353,N5,飲む,のむ,to drink,scene_image,person_action_scene,action_state,NO PICTURE
n5_07708,N5,あの,あの / あん,that over there,scene_image,visual_state_scene,action_state,NO PICTURE
n5_07724,N5,おいしい,おいしい / オイシイ,delicious,scene_image,visual_state_scene,action_state,NO PICTURE
n5_07728,N5,おもしろい,おもしろい,interesting,scene_image,visual_state_scene,action_state,NO PICTURE
n5_07745,N5,かわいい,かわいい / カワイイ / カワイい,cute,scene_image,visual_state_scene,action_state,NO PICTURE
n5_07746,N5,きれい,きれい / キレイ / きれーい,"pretty,clean",scene_image,visual_state_scene,action_state,NO PICTURE
n5_07753,N5,こんな,こんな,such,scene_image,visual_state_scene,action_state,NO PICTURE
n5_07766,N5,その,その / そん,that,scene_image,visual_state_scene,action_state,NO PICTURE
n5_07781,N5,つまらない,つまらない / つまらねー,boring,scene_image,visual_state_scene,action_state,NO PICTURE
n5_07806,N5,まずい,まずい / マズイ / マズい,unpleasant,scene_image,visual_state_scene,action_state,NO PICTURE
n5_07818,N5,りっぱ,りっぱ,splendid,scene_image,visual_state_scene,action_state,NO PICTURE
n5_07894,N5,丈夫,じょうぶ,"strong,durable",scene_image,visual_state_scene,action_state,NO PICTURE
n5_07900,N5,上手,じょうず,skillful,scene_image,visual_state_scene,action_state,NO PICTURE
n5_07939,N5,低い,ひくい,"short,low",scene_image,visual_state_scene,action_state,NO PICTURE
n5_07946,N5,便利,べんり,"useful, convenient",scene_image,visual_state_scene,action_state,NO PICTURE
n5_07971,N5,冷たい,つめたい,cold to the touch,scene_image,visual_state_scene,action_state,NO PICTURE
n5_07997,N5,危ない,あぶない,dangerous,scene_image,visual_state_scene,action_state,NO PICTURE
n5_07999,N5,厚い,あつい,"kind, deep, thick",scene_image,visual_state_scene,action_state,NO PICTURE
n5_08004,N5,古い,ふるい,old (not used for people),scene_image,visual_state_scene,action_state,NO PICTURE
n5_08035,N5,多い,おおい,many,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08037,N5,大きい,おおきい,big,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08038,N5,大きな,おおきな,big,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08039,N5,大丈夫,だいじょうぶ,all right,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08042,N5,大切,たいせつ,important,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08044,N5,大好き,だいすき,to be very likeable,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08051,N5,好き,すき,likeable,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08055,N5,嫌,いや,unpleasant,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08056,N5,嫌い,きらい,hate,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08061,N5,安い,やすい,cheap,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08066,N5,寒い,さむい,cold,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08069,N5,小さい,ちいさい,little,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08070,N5,小さな,ちいさな,little,scene_image,visual_state_scene,action_state,NO PICTURE
